sample_id,noise_type,snr_db,method,pesq,stoi
1221-135766-0002,pink,20,wiener,1.1838,0.8846
1221-135766-0002,pink,20,spectral_sub,3.1877,0.9954
1221-135766-0002,soundtrack,-5,noisy,1.0664,0.7698
1221-135766-0002,soundtrack,-5,wiener,1.0373,0.6933
1221-135766-0002,soundtrack,-5,spectral_sub,1.0712,0.7493
1221-135766-0002,soundtrack,0,noisy,1.1433,0.8402
1221-135766-0002,soundtrack,0,wiener,1.046,0.7485
1221-135766-0002,soundtrack,0,spectral_sub,1.1971,0.8311
1221-135766-0002,soundtrack,5,noisy,1.3323,0.8945
1221-135766-0002,soundtrack,5,wiener,1.0523,0.7965
1221-135766-0002,soundtrack,5,spectral_sub,1.4478,0.8974
1221-135766-0002,soundtrack,10,noisy,1.6878,0.9317
1221-135766-0002,soundtrack,10,wiener,1.0651,0.8244
1221-135766-0002,soundtrack,10,spectral_sub,1.7359,0.9399
1221-135766-0002,soundtrack,15,noisy,2.2072,0.9585
1221-135766-0002,soundtrack,15,wiener,1.0834,0.8465
1221-135766-0002,soundtrack,15,spectral_sub,2.0525,0.9656
1221-135766-0002,soundtrack,20,noisy,2.8456,0.9762
1221-135766-0002,soundtrack,20,wiener,1.1097,0.863
1221-135766-0002,soundtrack,20,spectral_sub,2.4396,0.9805
1284-1180-0000,white,-5,noisy,1.0211,0.6374
1284-1180-0000,white,-5,wiener,1.0243,0.6644
1284-1180-0000,white,-5,spectral_sub,1.0344,0.6084
1284-1180-0000,white,0,noisy,1.0254,0.7132
1284-1180-0000,white,0,wiener,1.042,0.7366
1284-1180-0000,white,0,spectral_sub,1.0684,0.6976
1284-1180-0000,white,5,noisy,1.0372,0.7779
1284-1180-0000,white,5,wiener,1.0753,0.7738
1284-1180-0000,white,5,spectral_sub,1.1666,0.775
1284-1180-0000,white,10,noisy,1.0652,0.8373
1284-1180-0000,white,10,wiener,1.1521,0.7972
1284-1180-0000,white,10,spectral_sub,1.4215,0.8409
1284-1180-0000,white,15,noisy,1.1469,0.8905
1284-1180-0000,white,15,wiener,1.3175,0.815
1284-1180-0000,white,15,spectral_sub,1.7985,0.8946
1284-1180-0000,white,20,noisy,1.3686,0.9349
1284-1180-0000,white,20,wiener,1.5306,0.8294
1284-1180-0000,white,20,spectral_sub,2.3048,0.9384
1284-1180-0000,pink,-5,noisy,1.2944,0.9468
1284-1180-0000,pink,-5,wiener,1.1029,0.8025
1284-1180-0000,pink,-5,spectral_sub,1.8681,0.9489
1284-1180-0000,pink,0,noisy,1.6712,0.975
1284-1180-0000,pink,0,wiener,1.2257,0.8284
1284-1180-0000,pink,0,spectral_sub,2.3584,0.9757
1284-1180-0000,pink,5,noisy,2.2168,0.9904
1284-1180-0000,pink,5,wiener,1.3754,0.8429
1284-1180-0000,pink,5,spectral_sub,3.0904,0.9905
1284-1180-0000,pink,10,noisy,2.7986,0.9968
1284-1180-0000,pink,10,wiener,1.4948,0.8495
1284-1180-0000,pink,10,spectral_sub,3.7042,0.9967
1284-1180-0000,pink,15,noisy,3.3731,0.999
1284-1180-0000,pink,15,wiener,1.597,0.8518
1284-1180-0000,pink,15,spectral_sub,4.1411,0.9989
1284-1180-0000,pink,20,noisy,3.8749,0.9997
1284-1180-0000,pink,20,wiener,1.684,0.8526
1284-1180-0000,pink,20,spectral_sub,4.3504,0.9996
1284-1180-0000,soundtrack,-5,noisy,1.039,0.6552
1284-1180-0000,soundtrack,-5,wiener,1.0413,0.6219
1284-1180-0000,soundtrack,-5,spectral_sub,1.0705,0.6293
1284-1180-0000,soundtrack,0,noisy,1.0756,0.7387
1284-1180-0000,soundtrack,0,wiener,1.0825,0.7001
1284-1180-0000,soundtrack,0,spectral_sub,1.1315,0.7306
1284-1180-0000,soundtrack,5,noisy,1.1857,0.8191
1284-1180-0000,soundtrack,5,wiener,1.1636,0.7582
1284-1180-0000,soundtrack,5,spectral_sub,1.2863,0.8183
1284-1180-0000,soundtrack,10,noisy,1.4271,0.8886
1284-1180-0000,soundtrack,10,wiener,1.2892,0.7982
1284-1180-0000,soundtrack,10,spectral_sub,1.65,0.8921
1284-1180-0000,soundtrack,15,noisy,1.8681,0.9388
1284-1180-0000,soundtrack,15,wiener,1.4348,0.8247
1284-1180-0000,soundtrack,15,spectral_sub,2.2222,0.9421
1284-1180-0000,soundtrack,20,noisy,2.4304,0.9705
1284-1180-0000,soundtrack,20,wiener,1.5581,0.8404
1284-1180-0000,soundtrack,20,spectral_sub,2.8669,0.9726
1320-122612-0001,white,-5,noisy,1.0209,0.6235
1320-122612-0001,white,-5,wiener,1.0219,0.6527
1320-122612-0001,white,-5,spectral_sub,1.0208,0.6039
1320-122612-0001,white,0,noisy,1.021,0.7009
1320-122612-0001,white,0,wiener,1.0299,0.7314
1320-122612-0001,white,0,spectral_sub,1.0316,0.6978
1320-122612-0001,white,5,noisy,1.0232,0.7831
1320-122612-0001,white,5,wiener,1.0455,0.7781
1320-122612-0001,white,5,spectral_sub,1.0941,0.7919
1320-122612-0001,white,10,noisy,1.036,0.8673
1320-122612-0001,white,10,wiener,1.1013,0.8108
1320-122612-0001,white,10,spectral_sub,1.2982,0.8834
1320-122612-0001,white,15,noisy,1.0915,0.9359
1320-122612-0001,white,15,wiener,1.2192,0.834
1320-122612-0001,white,15,spectral_sub,1.7014,0.9478
1320-122612-0001,white,20,noisy,1.2749,0.9752
1320-122612-0001,white,20,wiener,1.3353,0.8495
1320-122612-0001,white,20,spectral_sub,2.2729,0.9791
1320-122612-0001,pink,-5,noisy,1.1877,0.972
1320-122612-0001,pink,-5,wiener,1.0817,0.8396
1320-122612-0001,pink,-5,spectral_sub,1.7862,0.9766
1320-122612-0001,pink,0,noisy,1.4428,0.9899
1320-122612-0001,pink,0,wiener,1.1213,0.8564
1320-122612-0001,pink,0,spectral_sub,2.4777,0.9913
1320-122612-0001,pink,5,noisy,1.982,0.9967
1320-122612-0001,pink,5,wiener,1.1666,0.8629
1320-122612-0001,pink,5,spectral_sub,3.0622,0.9969
1320-122612-0001,pink,10,noisy,2.6763,0.9989
1320-122612-0001,pink,10,wiener,1.2317,0.8653
1320-122612-0001,pink,10,spectral_sub,3.5746,0.9989
1320-122612-0001,pink,15,noisy,3.3334,0.9997
1320-122612-0001,pink,15,wiener,1.3203,0.866
1320-122612-0001,pink,15,spectral_sub,3.9535,0.9996
1320-122612-0001,pink,20,noisy,3.8555,0.9999
1320-122612-0001,pink,20,wiener,1.3932,0.8663
1320-122612-0001,pink,20,spectral_sub,4.2009,0.9998
1320-122612-0001,soundtrack,-5,noisy,1.027,0.7044
1320-122612-0001,soundtrack,-5,wiener,1.0349,0.6458
1320-122612-0001,soundtrack,-5,spectral_sub,1.0392,0.681
1320-122612-0001,soundtrack,0,noisy,1.0477,0.8065
1320-122612-0001,soundtrack,0,wiener,1.0603,0.7478
1320-122612-0001,soundtrack,0,spectral_sub,1.0744,0.7906
1320-122612-0001,soundtrack,5,noisy,1.0953,0.8923
1320-122612-0001,soundtrack,5,wiener,1.1021,0.8022
1320-122612-0001,soundtrack,5,spectral_sub,1.1713,0.8875
1320-122612-0001,soundtrack,10,noisy,1.2279,0.9503
1320-122612-0001,soundtrack,10,wiener,1.1409,0.8323
1320-122612-0001,soundtrack,10,spectral_sub,1.4651,0.95
1320-122612-0001,soundtrack,15,noisy,1.5655,0.9812
1320-122612-0001,soundtrack,15,wiener,1.1855,0.852
1320-122612-0001,soundtrack,15,spectral_sub,1.9794,0.9813
1320-122612-0001,soundtrack,20,noisy,2.1315,0.9937
1320-122612-0001,soundtrack,20,wiener,1.2382,0.8609
1320-122612-0001,soundtrack,20,spectral_sub,2.6526,0.9937
